Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Plrd	282	Miao (Pollard)	miao (Pollard)	Miao	6.1	2/6/2012	y				Shimenkan				NotoSansMiao		ShiShan
Piqd	293	Klingon (KLI pIqaD)	klingon (pIqaD du KLI)			12/16/2015											
Prti	130	Inscriptional Parthian	parthe des inscriptions	Inscriptional_Parthian	5.2	6/1/2009	y								NotoSansInscriptionalParthian		
Qaaa	900	Reserved for private use (start)	réservé à l’usage privé (début)			5/29/2004											
Qabx	949	Reserved for private use (end)	réservé à l’usage privé (fin)			5/29/2004											
Rjng	363	Rejang (Redjang, Kaganga)	redjang (kaganga)	Rejang	5.1	2/23/2009	y								NotoSansRejang		
Rohg	167	Hanifi Rohingya	hanifi rohingya	Hanifi_Rohingya	11	11/21/2017	y										
Roro	620	Rongorongo	rongorongo			5/1/2004											
Runr	211	Runic	runique	Runic	3	5/1/2004	y								NotoSansRunic		
Samr	123	Samaritan	samaritain	Samaritan	5.2	6/1/2009	y								NotoSansSamaritan		
Sara	292	Sarati	sarati			5/29/2004											
Sarb	105	Old South Arabian	sud-arabique, himyarite	Old_South_Arabian	5.2	6/1/2009	y								NotoSansOldSouthArabian		
Saur	344	Saurashtra	saurachtra	Saurashtra	5.1	7/2/2007	y								NotoSansSaurashtra		
Sgnw	95	SignWriting	SignÉcriture, SignWriting	SignWriting	8	7/7/2015	y										
Shaw	281	Shavian (Shaw)	shavien (Shaw)	Shavian	4	5/1/2004	y										
Shrd	319	Sharada, Śāradā	charada, shard	Sharada	6.1	2/6/2012	y										
Shui	530	Shuishu	shuishu			7/26/2017									NotoSansShuishu		
Sidd	302	Siddham, Siddhaṃ, Siddhamātṛkā	siddham	Siddham	7	11/15/2014									NotoSansSiddham		
Sind	318	Khudawadi, Sindhi	khoudawadî, sindhî	Khudawadi	7	11/15/2014	y								NotoSansKhudawadi		
Sinh	348	Sinhala	singhalais	Sinhala	3	5/1/2004	y								NotoSansSinhala	NotoSerifSinhala	
Sogd	141	Sogdian	sogdien	Sogdian	11	11/21/2017	y										
Sogo	142	Old Sogdian	ancien sogdien	Old_Sogdian	11	11/21/2017	y										
Sora	398	Sora Sompeng	sora sompeng	Sora_Sompeng	6.1	2/6/2012	y								NotoSansSora Sompeng		
Soyo	329	Soyombo	soyombo	Soyombo	10	7/26/2017	y										
Sund	362	Sundanese	sundanais	Sundanese	5.1	7/2/2007	y										
Sylo	316	Syloti Nagri	sylotî nâgrî	Syloti_Nagri	4.1	6/21/2006	y				Surma				NotoSansSylotiNagri		
Syrc	135	Syriac	syriaque	Syriac	3	5/1/2004	y								NotoSansSyriac		
Syre	138	Syriac (Estrangelo variant)	syriaque (variante estranghélo)		3	5/1/2004											
Syrj	137	Syriac (Western variant)	syriaque (variante occidentale)		3	5/1/2004	y								NotoSansSyriac		
Syrn	136	Syriac (Eastern variant)	syriaque (variante orientale)		3	5/1/2004											
Tagb	373	Tagbanwa	tagbanoua	Tagbanwa	3.2	5/1/2004	y								NotoSansTagbanwa		
